fta params:,lower,upper,delta,eta
,-2,2,0.2857142857142857,0.2857142857142857
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
345,47.97,21.87,0.01
346,71.13,22.56,0.01
347,-5.03,22.19,0.01
348,-10.98,22.28,0.01
349,13.12,22.77,0.01
350,49.59,22.7,0.01
351,65.4,23.39,0.01
352,-7.21,23.63,0.01
353,60.44,24.15,0.01
354,55.01,24.73,0.01
355,45.98,25.07,0.01
356,6.47,24.98,0.01
357,72.53,25.64,0.01
358,20.78,25.83,0.01
359,61.58,26.81,0.01
360,55.89,27.66,0.01
361,37.33,27.5,0.01
362,45.25,27.92,0.01
363,58.97,28.37,0.01
364,49.68,28.58,0.01
365,94.86,29.49,0.01
366,75.08,29.63,0.01
367,13.19,30.08,0.01
368,163.86,31.12,0.01
369,31.37,31.38,0.01
370,11.81,31.24,0.01
371,85.46,32.0,0.01
372,51.06,32.04,0.01
373,31.13,32.63,0.01
374,60.22,33.29,0.01
375,11.59,33.1,0.01
376,16.03,33.08,0.01
377,54.61,33.23,0.01
378,44.45,33.73,0.01
379,-10.66,33.31,0.01
380,-256.84,30.62,0.01
381,61.47,30.83,0.01
382,24.07,30.87,0.01
383,61.34,31.2,0.01
384,65.53,31.5,0.01
385,62.69,31.82,0.01
386,1.82,31.48,0.01
387,28.97,31.6,0.01
388,15.62,31.77,0.01
389,38.27,31.96,0.01
390,74.73,32.77,0.01
391,72.19,33.37,0.01
392,20.65,33.24,0.01
393,68.22,33.66,0.01
394,33.87,33.59,0.01
395,52.77,34.3,0.01
396,89.66,35.14,0.01
397,16.91,35.22,0.01
398,80.1,36.03,0.01
399,49.73,36.4,0.01
400,51.8,36.62,0.01
401,60.31,37.23,0.01
402,70.58,37.46,0.01
403,71.94,37.7,0.01
404,87.57,38.56,0.01
405,61.94,38.92,0.01
406,45.5,38.95,0.01
407,106.7,39.41,0.01
408,95.42,40.0,0.01
409,61.13,40.38,0.01
410,50.68,40.95,0.01
411,94.65,41.63,0.01
412,61.77,42.3,0.01
413,66.34,42.55,0.01
414,42.92,42.66,0.01
415,30.8,42.81,0.01
416,43.52,42.67,0.01
417,8.19,42.55,0.01
418,110.61,43.32,0.01
419,106.15,44.44,0.01
420,39.16,44.58,0.01
421,74.52,45.27,0.01
422,20.87,45.69,0.01
423,-24.74,45.29,0.01
424,49.27,45.04,0.01
425,69.24,45.35,0.01
426,20.33,45.48,0.01
427,55.65,45.67,0.01
428,39.21,45.39,0.01
429,66.97,46.07,0.01
430,46.5,46.13,0.01
431,60.43,46.03,0.01
432,48.62,46.21,0.01
433,92.03,46.61,0.01
434,89.66,46.8,0.01
435,26.8,46.52,0.01
436,52.34,46.42,0.01
437,60.25,46.76,0.01
438,55.65,46.95,0.01
439,-51.75,45.98,0.01
440,82.78,46.57,0.01
441,9.32,46.77,0.01
442,58.71,46.94,0.01
443,42.67,46.65,0.01
444,87.66,46.9,0.01
445,65.22,47.08,0.01
446,77.98,47.15,0.01
447,62.53,47.82,0.01
448,70.63,48.64,0.01
449,55.3,49.06,0.01
450,81.99,49.38,0.01
451,-69.46,48.03,0.01
452,61.88,48.72,0.01
453,109.32,49.21,0.01
454,49.74,49.16,0.01
455,44.61,49.15,0.01
456,55.26,49.64,0.01
457,82.29,49.73,0.01
458,96.34,50.49,0.01
459,72.19,50.59,0.01
460,57.62,50.61,0.01
461,125.01,51.49,0.01
462,77.01,51.81,0.01
463,29.12,51.51,0.01
464,59.65,51.61,0.01
465,41.21,51.07,0.01
466,88.02,51.2,0.01
467,72.01,51.79,0.01
468,36.54,50.52,0.01
469,39.38,50.6,0.01
470,40.81,50.89,0.01
471,82.51,50.86,0.01
472,60.38,50.95,0.01
473,82.06,51.46,0.01
474,43.47,51.29,0.01
475,44.45,51.62,0.01
476,-14.85,51.31,0.01
477,45.73,51.22,0.01
478,-4.52,50.73,0.01
479,71.6,51.55,0.01
480,19.76,54.32,0.01
481,-23.92,53.47,0.01
482,54.88,53.78,0.01
483,51.94,53.68,0.01
484,47.39,53.5,0.01
485,87.72,53.75,0.01
486,50.12,54.23,0.01
487,-342.93,50.51,0.01
488,44.51,50.8,0.01
489,52.63,50.95,0.01
490,69.32,50.89,0.01
491,57.23,50.74,0.01
492,109.35,51.63,0.01
493,112.85,52.08,0.01
494,85.04,52.59,0.01
495,61.36,52.67,0.01
496,62.86,52.41,0.01
497,84.32,53.08,0.01
498,65.87,52.94,0.01
499,39.27,52.83,0.01
