activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
411,-58.35,173.98,0.01
412,254.37,174.62,0.01
413,268.88,174.86,0.01
414,-84.81,171.22,0.01
415,245.44,170.73,0.01
416,255.9,170.52,0.01
417,272.47,170.54,0.01
418,278.98,171.08,0.01
419,245.07,170.96,0.01
420,260.75,170.83,0.01
421,114.9,169.6,0.01
422,252.44,170.01,0.01
423,208.77,169.31,0.01
424,213.3,171.33,0.01
425,209.07,170.9,0.01
426,232.46,171.04,0.01
427,268.79,171.22,0.01
428,262.22,171.1,0.01
429,16.73,168.53,0.01
430,231.58,167.94,0.01
431,252.59,167.79,0.01
432,214.85,167.46,0.01
433,244.62,167.4,0.01
434,219.13,166.93,0.01
435,307.02,167.44,0.01
436,-114.73,163.83,0.01
437,251.55,163.56,0.01
438,233.54,163.61,0.01
439,261.41,166.18,0.01
440,-18.52,163.61,0.01
441,256.5,165.54,0.01
442,275.5,170.96,0.01
443,235.48,170.88,0.01
444,236.58,172.59,0.01
445,250.04,174.95,0.01
446,243.86,177.14,0.01
447,265.55,177.16,0.01
448,219.78,176.74,0.01
449,192.58,176.52,0.01
450,211.01,179.01,0.01
451,245.47,181.72,0.01
452,-154.21,177.35,0.01
453,146.47,176.51,0.01
454,150.34,177.89,0.01
455,220.85,177.38,0.01
456,252.65,177.39,0.01
457,-46.14,174.55,0.01
458,204.78,174.37,0.01
459,-92.22,170.76,0.01
460,-158.2,166.71,0.01
461,200.56,165.97,0.01
462,245.23,165.8,0.01
463,212.54,165.62,0.01
464,178.01,164.55,0.01
465,231.29,164.02,0.01
466,-109.06,160.65,0.01
467,244.03,160.65,0.01
468,250.25,160.61,0.01
469,207.36,160.1,0.01
470,-35.42,159.5,0.01
471,-170.41,154.73,0.01
472,-175.64,152.93,0.01
473,-178.13,148.64,0.01
474,-222.32,146.46,0.01
475,217.34,145.98,0.01
476,-151.63,142.3,0.01
477,261.79,141.81,0.01
478,-167.41,137.34,0.01
479,235.78,137.51,0.01
480,275.97,137.45,0.01
481,217.45,139.6,0.01
482,222.05,139.62,0.01
483,241.86,139.46,0.01
484,-7.27,139.18,0.01
485,266.59,139.4,0.01
486,-44.57,136.6,0.01
487,182.91,136.19,0.01
488,260.72,136.59,0.01
489,282.78,137.38,0.01
490,218.92,141.15,0.01
491,234.13,143.85,0.01
492,249.76,145.87,0.01
493,276.8,148.58,0.01
494,225.36,151.62,0.01
495,240.83,154.15,0.01
496,243.34,154.04,0.01
497,276.89,157.62,0.01
498,260.21,160.11,0.01
499,280.49,162.96,0.01
500,206.32,163.2,0.01
501,244.37,166.21,0.01
502,252.19,166.48,0.01
503,216.79,166.99,0.01
504,203.58,167.55,0.01
505,-25.29,169.26,0.01
506,134.23,168.65,0.01
507,225.71,168.35,0.01
508,273.47,168.91,0.01
509,-290.98,163.84,0.01
510,244.51,163.21,0.01
511,225.48,166.05,0.01
512,5.47,163.56,0.01
