activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,FTA(),0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
541,-312.76,142.65,0.01
542,10.12,143.25,0.01
543,232.4,142.91,0.01
544,246.39,142.9,0.01
545,-9.74,140.11,0.01
546,224.82,142.46,0.01
547,254.46,152.2,0.01
548,217.44,151.8,0.01
549,248.79,154.65,0.01
550,251.52,154.47,0.01
551,250.78,154.86,0.01
552,202.81,154.55,0.01
553,-7.24,151.49,0.01
554,261.25,153.79,0.01
555,204.52,153.35,0.01
556,-217.15,148.75,0.01
557,-60.32,145.2,0.01
558,2.19,142.76,0.01
559,262.99,143.01,0.01
560,268.26,145.84,0.01
561,253.71,149.5,0.01
562,194.38,149.3,0.01
563,-50.93,148.97,0.01
564,238.43,148.68,0.01
565,246.74,148.87,0.01
566,230.37,151.03,0.01
567,230.44,153.5,0.01
568,262.08,154.02,0.01
569,-88.14,150.94,0.01
570,-294.61,150.15,0.01
571,312.1,153.18,0.01
572,198.2,157.69,0.01
573,260.56,164.85,0.01
574,256.24,167.74,0.01
575,256.9,168.47,0.01
576,254.24,171.56,0.01
577,26.0,169.22,0.01
578,265.61,169.71,0.01
579,240.59,169.56,0.01
580,18.83,166.98,0.01
581,41.64,167.4,0.01
582,282.11,167.85,0.01
583,225.83,168.21,0.01
584,261.48,174.58,0.01
585,275.24,174.66,0.01
586,257.12,174.95,0.01
587,151.83,173.83,0.01
588,219.47,173.48,0.01
589,-30.68,171.04,0.01
590,248.81,170.84,0.01
591,155.29,169.7,0.01
592,224.37,169.17,0.01
593,-24.46,171.86,0.01
594,246.51,171.83,0.01
595,200.62,171.78,0.01
596,233.45,171.52,0.01
597,34.51,169.41,0.01
598,273.25,169.66,0.01
599,278.3,169.94,0.01
600,14.69,167.86,0.01
601,249.19,169.39,0.01
602,210.48,169.15,0.01
603,206.32,169.17,0.01
604,255.95,169.06,0.01
605,273.27,171.73,0.01
606,235.57,171.61,0.01
607,226.5,171.81,0.01
608,23.21,170.33,0.01
609,-25.15,167.74,0.01
610,272.57,169.83,0.01
611,249.6,169.49,0.01
612,246.6,170.16,0.01
613,59.84,168.77,0.01
614,-30.11,165.76,0.01
615,242.88,166.08,0.01
616,0.22,163.74,0.01
617,258.78,164.59,0.01
618,45.49,163.88,0.01
619,267.61,164.16,0.01
620,252.78,164.35,0.01
621,244.63,169.07,0.01
622,158.18,168.64,0.01
623,242.24,168.72,0.01
624,226.73,168.63,0.01
625,280.32,169.2,0.01
626,123.43,168.09,0.01
627,234.28,170.3,0.01
628,-48.17,167.4,0.01
629,106.85,165.93,0.01
630,-63.27,163.04,0.01
631,133.92,161.98,0.01
632,63.54,160.53,0.01
633,-29.03,161.23,0.01
634,272.86,162.01,0.01
635,267.78,162.14,0.01
636,244.89,162.19,0.01
637,-16.67,159.68,0.01
638,6.5,157.22,0.01
639,205.3,157.08,0.01
640,243.41,158.32,0.01
641,11.49,161.56,0.01
642,24.21,161.7,0.01
643,228.29,161.66,0.01
644,253.98,161.74,0.01
645,-654.01,155.3,0.01
646,266.97,155.72,0.01
647,249.83,155.67,0.01
648,2.2,153.52,0.01
649,227.64,153.31,0.01
650,277.54,153.57,0.01
651,50.48,151.56,0.01
652,16.06,149.7,0.01
653,279.27,152.56,0.01
654,279.29,152.74,0.01
655,243.66,153.13,0.01
656,270.6,158.01,0.01
657,276.77,161.38,0.01
658,159.2,162.95,0.01
659,253.88,162.86,0.01
660,7.07,160.25,0.01
661,260.71,160.32,0.01
662,268.73,161.06,0.01
663,239.02,163.96,0.01
664,251.09,164.09,0.01
665,293.05,164.55,0.01
666,274.38,164.99,0.01
667,308.12,165.77,0.01
668,250.96,165.66,0.01
669,289.29,169.43,0.01
670,263.87,175.02,0.01
671,244.51,174.34,0.01
672,169.05,174.05,0.01
673,253.62,173.98,0.01
674,311.26,174.53,0.01
675,-178.3,170.18,0.01
676,286.57,170.5,0.01
677,229.72,172.54,0.01
678,252.49,172.41,0.01
679,-3.45,169.97,0.01
680,-168.31,168.1,0.01
681,243.25,170.11,0.01
682,282.25,170.11,0.01
683,70.74,168.56,0.01
684,278.81,168.73,0.01
685,11.65,166.1,0.01
686,248.18,166.01,0.01
687,282.97,167.32,0.01
688,238.39,167.51,0.01
689,265.69,170.47,0.01
690,245.09,170.44,0.01
691,237.01,171.25,0.01
692,201.64,171.03,0.01
693,247.11,173.74,0.01
694,277.45,174.05,0.01
695,13.01,172.18,0.01
696,234.01,172.18,0.01
697,135.56,173.19,0.01
698,253.78,173.0,0.01
699,220.98,172.42,0.01
700,9.17,172.37,0.01
701,286.03,172.74,0.01
702,253.5,173.17,0.01
703,157.96,172.68,0.01
704,269.62,172.82,0.01
705,27.68,170.36,0.01
706,33.14,168.34,0.01
707,271.04,168.79,0.01
708,-8.69,168.47,0.01
709,-12.04,168.6,0.01
710,240.49,168.28,0.01
711,289.98,168.68,0.01
712,263.97,168.85,0.01
713,300.74,171.26,0.01
714,223.46,173.8,0.01
715,26.65,171.64,0.01
716,219.86,173.83,0.01
717,285.07,174.1,0.01
718,287.83,176.52,0.01
719,263.24,176.48,0.01
720,-19.93,173.75,0.01
721,225.48,173.56,0.01
722,55.38,172.53,0.01
723,260.81,172.71,0.01
724,247.58,172.92,0.01
725,-4.76,170.07,0.01
726,267.97,171.52,0.01
727,260.39,171.78,0.01
728,230.56,174.57,0.01
729,-59.98,172.9,0.01
730,52.78,174.06,0.01
731,-7.49,172.64,0.01
732,257.62,174.59,0.01
733,244.77,177.32,0.01
734,269.79,177.29,0.01
735,270.32,177.32,0.01
736,8.85,174.96,0.01
737,164.94,176.77,0.01
738,-64.74,176.06,0.01
739,186.25,175.87,0.01
740,214.05,175.58,0.01
741,275.58,178.22,0.01
742,237.61,180.35,0.01
743,270.19,180.77,0.01
744,259.43,180.83,0.01
745,-30.65,187.06,0.01
746,-1.93,184.37,0.01
747,250.31,184.38,0.01
748,-9.54,184.26,0.01
749,56.79,182.55,0.01
750,215.21,181.93,0.01
751,-20.77,181.21,0.01
752,-207.66,178.98,0.01
753,267.61,178.86,0.01
754,303.99,179.11,0.01
755,267.3,179.34,0.01
756,-19.61,176.44,0.01
757,-118.53,172.49,0.01
758,-214.85,168.75,0.01
759,279.9,169.01,0.01
760,261.65,171.55,0.01
761,286.23,171.81,0.01
762,18.24,169.3,0.01
763,276.99,169.68,0.01
764,284.87,170.02,0.01
765,247.7,169.57,0.01
766,289.4,169.72,0.01
767,226.24,168.9,0.01
768,295.17,169.34,0.01
769,228.44,168.73,0.01
770,193.49,168.03,0.01
771,263.27,168.22,0.01
772,-52.85,166.0,0.01
773,-63.43,162.83,0.01
774,-85.8,158.86,0.01
775,254.74,163.19,0.01
776,232.24,162.64,0.01
777,-122.28,159.12,0.01
778,274.72,159.35,0.01
779,187.34,161.25,0.01
780,276.48,165.7,0.01
781,2.62,163.3,0.01
782,231.58,162.79,0.01
783,245.03,164.53,0.01
784,255.47,164.3,0.01
785,230.08,166.48,0.01
786,263.18,166.63,0.01
787,287.17,166.67,0.01
788,134.37,165.63,0.01
789,248.0,165.46,0.01
790,34.84,163.35,0.01
791,286.42,163.85,0.01
792,224.02,164.07,0.01
793,224.11,163.84,0.01
794,180.31,162.87,0.01
795,267.85,165.42,0.01
796,-39.04,162.69,0.01
797,264.74,163.98,0.01
798,241.6,163.86,0.01
799,20.42,161.85,0.01
800,275.75,164.52,0.01
801,-67.82,160.98,0.01
802,257.76,161.02,0.01
803,236.66,161.81,0.01
804,261.06,161.72,0.01
805,273.2,164.18,0.01
806,308.08,166.93,0.01
807,50.49,164.72,0.01
808,26.11,165.07,0.01
809,281.4,168.01,0.01
810,249.45,168.1,0.01
811,279.82,167.99,0.01
812,298.45,168.34,0.01
813,244.62,167.78,0.01
814,258.24,168.13,0.01
815,244.56,170.3,0.01
816,7.09,168.18,0.01
817,273.87,168.06,0.01
818,264.88,167.84,0.01
819,241.26,167.62,0.01
